,value
strategy,sens_wrong_model
n_days,250
n_stockdays,4902
total_pnl_sim,-1406120.8292245031
total_pnl_mid,132692.20306965162
total_impact_cost,1538813.0322941546
mean_daily_pnl_sim,-5624.483316898012
std_daily_pnl_sim,30620.233348439477
sharpe_sim,-2.915911960645243
sharpe_mid,5.331168672523008
max_drawdown,-1448634.096488812
max_impact_dislocation,0.025380639748458354
win_rate,0.456
total_turnover,95064548.39023386
