,total
net_pnl,-1406120.829224503
gross_pnl,132692.20306965162
impact_cost,1538813.0322941546
predicted_alpha,50876262.95704146
realised_alpha,132692.20306964722
turnover,95064548.39023386
gross_notional,11475760031.684685
