,total
net_pnl,456807.53868747177
gross_pnl,478685.0818103165
impact_cost,21877.54312284461
predicted_alpha,44649535.83395638
realised_alpha,478685.08181035676
turnover,86566056.36279532
gross_notional,10558488969.632118
