,value
strategy,afs_multi
n_days,250
n_stockdays,4902
total_pnl_sim,456807.53868747177
total_pnl_mid,478685.0818103165
total_impact_cost,21877.543122844607
mean_daily_pnl_sim,1827.230154749887
std_daily_pnl_sim,13873.2085487431
sharpe_sim,2.0908198246544463
sharpe_mid,2.1596921558447155
max_drawdown,-80249.82240915194
max_impact_dislocation,0.00169620081232631
win_rate,0.556
total_turnover,86566056.36279532
