stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-27.25253082184487,28.831200088668037,56.08373091051291,14932.619361763605,481868.0531762475,2865.5145248688423,28.83120008866341
AAL,2019-01-03,188.90301134215196,129.95074402388826,-58.952267318263694,30987.435533228814,928275.2510794725,5998.476328398203,129.95074402387465
AAL,2019-01-04,-132.60618326255533,-215.72339146172163,-83.1172081991663,30196.984646432174,956608.1916974096,5914.956767690535,-215.72339146168673
AAL,2019-01-07,-186.91238342116532,-154.22704564177013,32.685337779395184,28758.53214119174,946659.9661426875,5570.309450998615,-154.22704564177536
AAL,2019-01-08,463.0457664766784,625.1749006820012,162.12913420532277,27122.561018990596,885830.530688995,5332.208457146613,625.174900682121
AAL,2019-01-09,-285.95192697936056,-316.27064480185203,-30.318717822491465,296.89927709744165,9674.691970858361,59.049209246508966,-316.2706448018625
AAL,2019-01-10,-1080.0242928819748,-1140.5610523106918,-60.536759428717005,27146.6051024696,847883.2721533489,5211.822745408732,-1140.5610523106857
AAL,2019-01-11,93.08082930560248,24.099914933969586,-68.98091437163289,26212.787409632794,829266.4132021744,5154.758670475781,24.099914933985254
AAL,2019-01-14,29.581999301503153,-57.08629820785352,-86.66829750935668,25338.078529548944,801273.8856828527,4881.042527305212,-57.08629820788426
AAL,2019-01-15,12.135276185996638,-131.76764588338003,-143.90292206937667,24854.40113536353,797976.8890114627,4986.971617485334,-131.76764588338114
AAL,2019-01-16,-167.53077304639635,-74.30559105374694,93.22518199264941,25123.24946150572,834473.7212577913,4756.142196582245,-74.30559105374276
AAL,2019-01-17,31.92351333805237,14.928138812251937,-16.995374525800433,24419.490722258422,812851.416183572,4697.052458023467,14.928138812267488
AAL,2019-01-18,8.416048346782787,56.65292020244496,48.23687185566217,24045.617981951953,813227.28512478,4753.43504375735,56.65292020243032
AAL,2019-01-22,245.57625788703848,37.353115370529636,-208.22314251650886,24205.36981394734,801971.4664403865,4777.938628225034,37.35311537052761
AAL,2019-01-23,-352.06777192022633,-462.030764207587,-109.96299228736069,25071.756103382242,808208.6215169624,4913.642128842273,-462.0307642075886
AAL,2019-01-24,-182.9204018330189,-32.61333737957392,150.30706445344498,25567.447955044117,851517.7503556416,4905.865381578456,-32.61333737957426
AAL,2019-01-25,485.9958611614544,267.32690150390306,-218.66895965755134,26196.441037305296,918699.9301253743,5148.580492726487,267.32690150389067
AAL,2019-01-28,134.54425310782102,243.63143890434424,109.08718579652322,26908.20111200684,972999.1425994347,5294.319575028132,243.6314389043458
AAL,2019-01-29,54.12499967232186,110.01941351963303,55.89441384731117,26692.645621327498,974757.782749411,5199.079473655837,110.01941351965343
AAL,2019-01-30,-52.98805550541772,82.32210713369714,135.31016263911488,26711.70207195228,972852.4814652255,5129.357299523694,82.32210713368747
AAL,2019-01-31,123.82512184604175,50.929529120127896,-72.89559272591386,27224.0494335109,982243.1074064507,5134.975027711512,50.92952912016547
AAL,2019-02-01,41.68851254682579,-78.63808278007264,-120.32659532689843,25905.11330253622,940111.1750509273,5073.034208143181,-78.63808277993127
AAL,2019-02-04,-304.2396163164628,-418.14654735216675,-113.90693103570396,25293.360034944897,926764.2023467873,4807.245901466091,-418.14654735205283
AAL,2019-02-05,129.38821787265806,-30.76825938365424,-160.15647725631231,25228.748469060818,932063.3917645647,4796.518191357976,-30.76825938370996
AAL,2019-02-06,-138.79995778060518,31.456337261476435,170.2562950420816,24882.915243714873,916016.6701423835,4815.277124217228,31.456337261167846
AAL,2019-02-07,108.11680634265818,397.52742298895873,289.4106166463006,26243.204557650395,953119.1080548719,5155.107026210222,397.52742298904644
AAL,2019-02-08,-294.7517512363663,-52.1493313372321,242.60241989913422,24507.796314720094,877759.5262932695,4747.843108754324,-52.149331337029054
AAL,2019-02-11,-550.3287523500367,-654.6666158350617,-104.33786348502508,24402.580278123933,889239.3530869584,4788.993243634048,-654.6666158352064
AAL,2019-02-12,798.6316238416821,1037.2005700086718,238.5689461669897,25037.57375269241,918028.2524117564,4913.526475914029,1037.200570008693
AAL,2019-02-13,-416.7303692772084,-314.3976025041861,102.33276677302229,25012.956397479553,904336.898841826,4804.696789697318,-314.3976025038994
AAL,2019-02-14,-300.37589692031287,-207.94259510528173,92.43330181503114,24503.71247559329,886389.8308286828,4803.895511061017,-207.94259510504912
AAL,2019-02-15,748.5184963719362,1531.3749974219554,782.8565010500192,25650.47537766586,914721.290412107,4977.082090676788,1531.3749974219345
