date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,4710.375433188243,6107.95668361546,-1397.581250427218,815037.3290653805,5.175291088655291e-05
2019-01-03,-7961.016180769949,-5065.284393442919,-2895.73178732703,1039532.0217258482,7.81132098734493e-05
2019-01-04,5727.92763643382,3114.010665414408,2613.9169710194133,1101099.9862367464,5.567043916055544e-05
2019-01-07,7696.825941529655,854.1186387755763,6842.707302754079,1072027.0195841875,8.186384285221537e-05
2019-01-08,-8949.718845333697,-8321.7859079783,-627.9329373553967,1041148.6906149922,6.216970341106124e-05
2019-01-09,369.45556743057125,362.00786131513195,7.447706115439228,10845.132035120789,2.542672601798447e-05
2019-01-10,-2310.691604914948,-2821.6602076962295,510.9686027812808,858497.4486845214,0.00010914346411681264
2019-01-11,-217.131506548803,321.8160222455285,-538.9475287943317,839555.8310985798,0.0001014930692861532
2019-01-14,10392.43912463116,4744.980421102247,5647.458703528913,819779.7644539229,7.29833239871046e-05
2019-01-15,53.337191902467765,-1958.4579396976196,2011.7951316000876,807459.4073248672,8.082620007577535e-05
2019-01-16,2765.635977087427,4621.285093630035,-1855.649116542608,801634.3086342615,5.818481999141917e-05
2019-01-17,-966.9713738065818,1801.878402875539,-2768.849776682121,789598.1432776032,8.019994793910932e-05
2019-01-18,4425.264625746879,-977.3793292316437,5402.643954978523,794681.9037512977,7.302731879871651e-05
2019-01-22,-1033.7663609197555,4814.65082340168,-5848.417184321435,792982.7514496719,6.047814277634315e-05
2019-01-23,6450.774358235563,5345.8154468329085,1104.958911402655,793555.8594976505,7.903900769120518e-05
2019-01-24,5044.1425453618085,-1417.1015951482846,6461.2441405100935,800886.6859959378,6.911235259976522e-05
2019-01-25,947.0051615902812,391.69702431303466,555.3081372772465,809334.8716178543,5.809995114874097e-05
2019-01-28,2750.636400291779,3984.7941185781933,-1234.157718286414,818012.9558948915,7.202707211432615e-05
2019-01-29,262.24770561989834,7638.900866321114,-7376.653160701216,822244.552486327,4.968619885359268e-05
2019-01-30,1402.931248184982,-407.00184978705784,1809.9330979720398,845134.9849413813,7.103840569444681e-05
2019-01-31,-287.8994129845245,-609.9575289297889,322.05811594526426,855933.4617064034,5.6671578449163304e-05
2019-02-01,329.547735853155,-836.3318166733927,1165.8795525265477,839721.9099947044,6.095816636689107e-05
2019-02-04,-2508.3951249842316,-1053.4367441581494,-1454.9583808260827,811569.2548568705,6.625436368565857e-05
2019-02-05,2464.048622243252,4270.239194108838,-1806.190571865586,809911.5048644601,6.848084735292343e-05
2019-02-06,3499.2717205641866,-2057.7853414491733,5557.05706201336,804301.4756080096,6.512433570193135e-05
2019-02-07,447.18204581179174,3797.983304104083,-3350.801258292291,857938.5037914175,4.8206999327640664e-05
2019-02-08,-2346.7315350489216,2798.334682353643,-5145.066217402565,846526.6130122113,3.942354450354831e-05
2019-02-11,2093.0883790381345,1274.8878758308829,818.2005032072517,843086.405899932,4.9323051613233756e-05
2019-02-12,1074.933458930827,2733.322845274153,-1658.3893863433261,845076.3171099315,4.046553386032732e-05
2019-02-13,60.51106515907446,683.7906244412534,-623.2795592821789,844417.1699726162,4.078862636753684e-05
2019-02-14,4779.923292479325,7044.154592173361,-2264.231299694036,842947.8792514242,6.491039547047149e-05
2019-02-15,-282.9365176317953,1788.7776829759284,-2071.714200607724,850328.8233566914,4.5024660714692784e-05
2019-02-19,2327.106652832788,-34.16927938471724,2361.275932217505,839593.8084827178,4.3515049205013917e-05
2019-02-20,-237.59931041452518,-1118.5026052468181,880.9032948322931,839025.1991442366,4.900195623689029e-05
2019-02-21,2533.926042333305,3141.120081087247,-607.194038753942,832370.9497870775,3.4329045326585065e-05
2019-02-22,-76.05537113805477,-426.132341796802,350.0769706587473,813601.8259495412,4.1069902684303536e-05
2019-02-25,547.8793183816774,-45.66264783777778,593.5419662194553,799096.8177454586,3.7606939621887e-05
2019-02-26,2523.4431467494564,3351.113093348953,-827.669946599497,782783.9252354864,3.4599980130345e-05
2019-02-27,2053.0122263283342,1409.192058427498,643.8201679008363,770858.8117764838,4.8419691931179344e-05
2019-02-28,-110.49112425781283,-1167.9325071895555,1057.441382931743,726907.9663723096,4.646077596015986e-05
2019-03-01,1062.2009848003536,2258.2078335980605,-1196.0068487977069,709403.0247568166,3.0065219142093568e-05
2019-03-04,2177.0731276455003,34.48664264514396,2142.5864850003563,708813.7099611764,3.970857066455446e-05
2019-03-05,-42.16740671145925,434.9918793298567,-477.15928604131597,693702.6159387464,2.9898662912827056e-05
2019-03-06,582.6850958302105,328.45065612796697,254.23443970224363,685053.5953768466,3.379517721631251e-05
2019-03-07,2279.094429401927,-802.9136402156441,3082.008069617571,680614.6636699459,3.7628259990616336e-05
2019-03-08,1653.1596559904249,995.1413817258398,658.0182742645851,635368.8490522302,3.764276626395306e-05
2019-03-11,112.05456934057675,414.4538750759959,-302.39930573541926,658941.2423520604,3.572155965037809e-05
2019-03-12,844.0098316532013,403.0188892516213,440.99094240158,660495.9054560758,3.191983137842134e-05
2019-03-13,246.17878143874873,2152.149434776036,-1905.970653337287,655844.1946847005,3.946795400087001e-05
2019-03-14,-22.954687419765726,-461.4862310833803,438.5315436636145,653787.8970024004,4.637622866593918e-05
2019-03-15,-1162.1362648388028,331.4316288639683,-1493.567893702771,654931.0885334471,3.294827454821172e-05
2019-03-18,761.1892134180468,1686.402555305821,-925.213341887774,642591.5710353277,2.4262566259869343e-05
2019-03-19,287.1638832626227,435.0421412545194,-147.87825799189665,669444.9729500943,2.8615847246243055e-05
2019-03-20,-1064.0592553769425,-517.0493991870962,-547.0098561898462,679536.0039420868,2.939004266189225e-05
2019-03-21,-725.4648957018019,-1526.2582849324308,800.7933892306288,695322.5918022956,3.3183563367711243e-05
2019-03-22,4386.907377393066,5374.14101821404,-987.2336408209729,710132.5384472588,3.514068857599855e-05
2019-03-25,-246.14039915111272,2089.586534013209,-2335.726933164322,710210.7069278021,3.434671623884806e-05
2019-03-26,6295.224476827937,4093.083948757555,2202.140528070382,717266.702773355,3.0713222339830163e-05
2019-03-27,3932.3084592901523,435.7237693776515,3496.5846899125013,724765.9111134047,2.87756412423913e-05
2019-03-28,3026.094517020623,3453.697315442261,-427.6027984216379,725414.530318081,3.982470293961614e-05
2019-03-29,672.7715428734521,-1110.1202746437743,1782.8918175172262,723264.3331229255,3.134093356928256e-05
2019-04-01,1763.752811469254,2099.4926065064315,-335.7397950371776,721085.5038585099,3.426196617867178e-05
2019-04-02,477.6979194567092,-1296.011804966445,1773.7097244231543,722469.5563516973,3.5589551594144344e-05
2019-04-03,245.16600796594983,-820.9420780146994,1066.1080859806493,742552.0743991772,4.661080012096634e-05
2019-04-04,2929.7108856427685,-2230.397860378058,5160.1087460208255,739978.937857454,3.9947979689999754e-05
2019-04-05,-873.3839025569961,-485.2289980454116,-388.15490451158405,741667.6898171899,3.9495005395908e-05
2019-04-08,2704.1707959641226,3470.157128697487,-765.9863327333647,741071.1049066479,3.927630613845538e-05
2019-04-09,1305.4650281372208,-497.5969068756823,1803.0619350129034,737593.631895215,4.019490673013366e-05
2019-04-10,-1071.094975276524,929.0614478475088,-2000.156423124033,736288.8098381853,3.398060566620972e-05
2019-04-11,-1355.2329824385267,-1566.2171377480754,210.98415530954875,730942.2001459232,3.9666043612341626e-05
2019-04-12,2442.790446237709,-701.1124929410053,3143.902939178714,723942.1328431808,3.7914567050541224e-05
2019-04-15,-1540.4162290117224,-89.50356099209546,-1450.9126680196268,721788.2085679979,3.7014685720660946e-05
2019-04-16,1480.874228941611,569.9904122390002,910.8838167026107,699362.5078442729,3.5242618705934534e-05
2019-04-17,1921.8736531824902,1306.2131326225315,615.6605205599587,684915.9402822368,3.3763118642629685e-05
2019-04-18,-390.3059340645549,-1457.6726698397806,1067.3667357752256,660956.1846194167,2.76667721767077e-05
2019-04-22,4522.276324565351,2476.1470025642675,2046.129322001084,639235.0608302215,3.1096148834773934e-05
2019-04-23,-1033.944642649205,-1281.9165736059467,247.9719309567414,633742.5549832731,3.7204301218834135e-05
2019-04-24,-3.146175452710736,1511.4060683515336,-1514.552243804244,629278.7588517829,4.740536979274246e-05
2019-04-25,1183.7714084713425,1424.4270764237237,-240.6556679523812,627547.0806784498,3.6961098904092734e-05
2019-04-26,-4518.488064139172,-3434.8383809141706,-1083.6496832250016,626879.081783376,2.8269909061925213e-05
2019-04-29,-322.09642040145746,754.2578607085522,-1076.3542811100099,623460.5575872996,3.173019513767392e-05
2019-04-30,-1988.1902056864465,-935.2425512763807,-1052.947654410066,631615.0442872384,3.273479200018222e-05
2019-05-01,-2609.732782057646,442.2595648331053,-3051.9923468907514,652532.8270356754,3.371058491552998e-05
2019-05-02,-1095.9228377278655,-2956.6080441277195,1860.6852063998545,642228.2663526526,3.4129427106932834e-05
2019-05-03,-1472.1617463525263,-1204.6106761342392,-267.55107021828724,634068.5763439054,3.506037559823953e-05
2019-05-06,1962.0376986022334,2969.6891172744995,-1007.6514186722661,643793.3788303914,4.846110744903206e-05
2019-05-07,1025.0987669737806,726.433828105292,298.6649388684889,661988.2199710918,3.789932845321968e-05
2019-05-08,1.8811742574567774,959.5806764507965,-957.6995021933398,661131.0463041831,3.52964529759975e-05
2019-05-09,1042.4454636573967,5095.774217494599,-4053.328753837203,673089.198892199,3.765902110287834e-05
2019-05-10,-3318.1673126177743,-1586.993115784784,-1731.17419683299,687482.7906971152,3.713591552949671e-05
2019-05-13,1118.6055068053877,3715.0436777618775,-2596.43817095649,703062.1201987645,3.397513994698328e-05
2019-05-14,3677.610598160691,3217.6126849084853,459.997913252206,712169.628550467,4.669669659823895e-05
2019-05-15,-361.52502710839747,-2160.011407089081,1798.4863799806835,714544.7773545253,4.276350338381699e-05
2019-05-16,286.2049519018787,-367.87929091895364,654.0842428208325,722501.2342229473,3.446492243156719e-05
2019-05-17,1337.4135612018363,-1951.2750564194762,3288.688617621313,735277.4126574502,3.6442611065296346e-05
2019-05-20,-873.2320725541962,1136.6625976300857,-2009.8946701842815,753473.9316619814,5.747892294161932e-05
2019-05-21,1661.3373560693376,3002.443470443347,-1341.1061143740092,750733.2832508959,5.0585804208076825e-05
2019-05-22,-4212.367264707746,-3022.1134144337857,-1190.2538502739599,749772.9875449279,4.4615472413026957e-05
2019-05-23,2360.0470910354425,3035.3453536579536,-675.2982626225107,762648.9213999425,4.205450158633606e-05
2019-05-24,-1309.4475025150496,-457.53927119238574,-851.9082313226638,759038.4701114446,4.599062392523569e-05
2019-05-28,983.5656443308735,-1510.7671481301543,2494.332792461028,781615.2627165008,3.982394780395511e-05
2019-05-29,3141.3649324709518,4892.798691413906,-1751.4337589429545,786804.9968025048,4.7731310161627455e-05
2019-05-30,-1494.4041998370838,-280.1277367692207,-1214.2764630678628,767215.1512884934,4.173348200067056e-05
2019-05-31,-3044.3023377599097,415.10117600381693,-3459.403513763727,762074.4040698555,5.138031011583623e-05
2019-06-03,3374.838183673514,5260.134656503354,-1885.2964728298398,785759.096018058,4.043590296394079e-05
2019-06-04,-319.200737347234,1002.2989116908477,-1321.499649038082,795659.4672724181,4.296913893433428e-05
2019-06-05,1580.3384679236597,62.502638092578906,1517.8358298310807,789439.1427840915,5.037105964614813e-05
2019-06-06,3285.1344249477347,4638.755313856747,-1353.6208889090126,797539.4290717769,3.848486062410454e-05
2019-06-07,-999.2548791245584,-1042.137172605377,42.88229348081826,792047.9816585068,6.313785336900358e-05
2019-06-10,1689.059423517586,2158.821318776857,-469.76189525927066,792219.6070870537,4.68194709128025e-05
2019-06-11,-681.9785669687667,395.99900733394304,-1077.9775743027099,780715.9231572743,4.2986793120603554e-05
2019-06-12,-1191.7755543841638,-440.83849045979133,-750.9370639243725,770551.6264674047,3.806326050396654e-05
2019-06-13,2359.7504552317164,1057.5546529542073,1302.195802277509,767394.0401748965,4.0281401631621017e-05
2019-06-14,217.83718962409438,46.98390180832098,170.85328781577346,760384.8484133853,3.558617951999983e-05
2019-06-17,1635.6555020170897,2332.5210459414334,-696.865543924344,754270.815122,4.526155774003817e-05
2019-06-18,-1882.290009422628,50.28339725815836,-1932.573406680786,756248.1066772991,3.876086170532019e-05
2019-06-19,1133.0447885995288,-760.0546900304641,1893.0994786299932,755349.9877818334,3.923447067374608e-05
2019-06-20,2445.2885116002617,1710.3206345871317,734.9678770131299,761566.9888977673,4.185094168699557e-05
2019-06-21,-1383.602473210271,4940.2318360558365,-6323.834309266107,752918.300916402,3.2502142225837066e-05
2019-06-24,-668.089325723205,695.0483018827846,-1363.1376276059896,750098.9162521433,4.420461406702294e-05
2019-06-25,887.1919881576137,401.62590303704195,485.56608512057176,737264.0634898177,3.7382103994027015e-05
2019-06-26,-741.5461118666168,-230.92678637449944,-510.61932549211735,724889.9957997851,2.948637807566672e-05
