stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,83.21953743394747,-50.746443782945775,133.96598121689323,28721.84393463633,88.42940553430702,364.5673750353886,2.7689945370358096e-05,2339
AAL,2019-01-03,379.65221529482284,463.00657349119297,-83.35435819637013,58905.82958342893,183.3474503661044,631.0304413443611,4.066194363791633e-05,2338
AAL,2019-01-04,-413.0389944162478,-400.98305958293287,-12.05593483331495,57142.79562518482,314.61808623258514,978.0204344356819,4.18640680543912e-05,2324
AAL,2019-01-07,311.69000353821167,277.6086994039209,34.08130413429075,54956.492012844195,222.4079159546207,767.0289936049548,3.733657028049913e-05,2335
AAL,2019-01-08,199.90893804807422,229.71845650366578,-29.809518455591558,51830.653504362286,230.82283753710925,723.8936878258032,3.564478489981005e-05,2333
AAL,2019-01-09,11.997005986184321,13.774546527473191,-1.7775405412888698,536.7063777887108,25.721450706712176,47.35990724075652,5.643211149176192e-06,58
AAL,2019-01-10,-427.3379969623814,-291.2659650887831,-136.0720318735983,50973.25009650409,262.4064727746305,710.7632614211071,4.734333078635991e-05,2339
AAL,2019-01-11,60.5436207225643,117.6898013559263,-57.14618063336201,49624.70294706904,169.73410237963728,556.5132005218245,5.4686724500164456e-05,2330
AAL,2019-01-14,102.00241681656672,358.3470687977192,-256.3446519811525,48194.28264145576,288.2809846671076,943.8815357776307,5.645880781745885e-05,2338
AAL,2019-01-15,-121.17567914614024,-97.36592515588545,-23.80975399025479,47202.48744422832,308.8131319100746,750.5826132042803,6.376784582070677e-05,2339
AAL,2019-01-16,-147.78156365347456,150.3618359307027,-298.14339958417725,47570.563392647666,138.90901582665438,519.8943750191148,3.967854006551181e-05,2334
AAL,2019-01-17,146.74324883924027,246.60665894862163,-99.86341010938136,46035.26629050141,231.24597807457462,678.8920916904357,4.276480821803649e-05,2335
AAL,2019-01-18,52.364243823999615,189.23483312163918,-136.87058929763958,45515.31255950492,213.95159681038078,764.2837376836762,4.61094857897761e-05,2338
AAL,2019-01-22,68.61967461546467,331.81378156309535,-263.19410694763064,45409.76947843601,183.9207446168248,598.8826672739667,4.546052603412397e-05,2337
AAL,2019-01-23,-237.3703625223515,-106.66249742336497,-130.70786509898653,47522.49481759622,154.99956381927393,541.9633204879865,3.340959691941911e-05,2340
AAL,2019-01-24,178.48051253445993,174.22425098131023,4.256261553149699,48274.737413667455,120.20730178613141,451.7621504002842,2.7233359881996435e-05,2336
AAL,2019-01-25,74.04515688389978,-4.490999792229822,78.5361566761296,49613.55104575448,179.84068270543372,712.9865746818182,4.1459015872556644e-05,2333
AAL,2019-01-28,-96.87908934470244,-28.7362185434984,-68.14287080120404,50692.6799294578,197.10245255699465,585.7223259699708,3.19624248646661e-05,2340
AAL,2019-01-29,21.543676067748706,11.20227745825855,10.341398609490156,50593.41573917752,213.5845079279863,738.6117689756129,4.6162493450643955e-05,2338
AAL,2019-01-30,117.88513638199834,110.32984553853103,7.555290843467304,50247.96195843877,266.9319612887478,604.3475763357061,4.113373138908357e-05,2340
AAL,2019-01-31,-20.40450921410563,-149.25929239022855,128.8547831761229,51569.32298613674,220.39957054985248,654.4933613793036,3.855048030699868e-05,2338
AAL,2019-02-01,-30.91067424030743,92.6304719759292,-123.54114621623663,49049.138648589316,273.20575044701457,623.040533496215,3.801781238940235e-05,2330
AAL,2019-02-04,28.818224385656006,-36.114485100418186,64.93270948607419,47900.800157573234,166.0946900093985,634.0961025854367,4.28055442743104e-05,2322
AAL,2019-02-05,139.14072604167765,47.080368952489124,92.06035708918853,47605.38400881257,208.46901226237682,634.0540965650663,4.0968657889194746e-05,2329
AAL,2019-02-06,34.229971230102976,-66.73229520409458,100.96226643419756,47303.763442647505,273.4115422017949,833.8145905734581,5.4350665628443965e-05,2323
AAL,2019-02-07,90.64819606885288,64.18890299906678,26.4592930697861,50180.93848733758,124.97775441413177,489.9940742049679,2.5740378619606764e-05,2338
AAL,2019-02-08,68.03685134344845,-59.45168441172126,127.4885357551697,47007.172455585256,234.84756973616464,696.871269711152,3.3208593185407096e-05,2332
AAL,2019-02-11,-3.392170656408041,77.65531276553635,-81.04748342194439,46929.74246763038,218.83175432299748,731.0312222722918,3.535694543107021e-05,2336
AAL,2019-02-12,-55.43282173409064,105.09226795547887,-160.5250896895695,48314.55029654372,194.11864085730093,564.5874696905984,2.3136503711707748e-05,2337
AAL,2019-02-13,-1.5842640241300465,13.784427625090963,-15.36869164922101,48146.14383538933,143.9164385066337,596.1152063222156,2.4038888663133517e-05,2337
AAL,2019-02-14,24.906383330952504,-21.292832030770704,46.199215361723205,47092.810512547774,271.73071229082814,691.4887800660598,2.8474233206940347e-05,2333
AAL,2019-02-15,413.7490228264364,161.72195035095382,252.02707247548256,49630.378598732925,226.10173107028763,654.9127756934103,1.9622831680863416e-05,2335
AAL,2019-02-19,129.24906389811704,73.51770687645924,55.7313570216578,50132.216158656025,136.13979307366884,519.4382792411295,2.0568873467086092e-05,2337
AAL,2019-02-20,36.065116602329276,96.73217277784524,-60.66705617551596,49987.609007450184,144.61786948650422,530.7117622722968,2.6868106146362368e-05,2337
AAL,2019-02-21,-107.46852281155218,7.732171796345526,-115.2006946078977,48539.52400181697,332.0207887127768,1014.566846483452,2.6411500848037636e-05,2340
AAL,2019-02-22,43.68464709260928,-23.597614315964904,67.28226140857419,47448.475809967626,141.3351124909624,567.4606019385245,1.9321602934685245e-05,2333
AAL,2019-02-25,172.5717466676485,175.05483576138533,-2.4830890937368224,45605.85386368063,190.35623936542362,951.6734055747613,3.343788017566376e-05,2337
