,total
net_pnl,205883.04929405454
gross_pnl,220655.4279725382
impact_cost,14772.378678483685
predicted_alpha,89035423.79377562
realised_alpha,220655.42797253473
turnover,166371973.4128184
gross_notional,20083957811.89044
