,value
strategy,ow_daily
n_days,250
n_stockdays,4902
total_pnl_sim,106884.52381158102
total_pnl_mid,117579.90249414927
total_impact_cost,10695.378682568251
mean_daily_pnl_sim,427.5380952463241
std_daily_pnl_sim,1979.2243478926084
sharpe_sim,3.4290993152921616
sharpe_mid,5.138845039529211
max_drawdown,-14382.395725089664
max_impact_dislocation,7.371672383964707e-05
win_rate,0.656
total_turnover,83185017.23054048
