stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,41.843720127551094,-54.450925871587685,96.29464599913878,14358.773659890747,53.515749978167385,228.49584688210962,1.8630692870308036e-05,2339
AAL,2019-01-03,184.7333106537995,195.52347606990685,-10.790165416107357,29446.22670068493,104.05190967243374,344.0123570017537,2.198033813619898e-05,2338
AAL,2019-01-04,-245.9911069708288,-203.6062875731875,-42.38481939764131,28590.201691944494,207.27310350160428,620.44671205391,3.1496713301905875e-05,2324
AAL,2019-01-07,113.75550503538,156.31158505796358,-42.556080022583586,27486.79071136621,140.65731467568753,510.5633849563252,2.553397148679556e-05,2335
AAL,2019-01-08,183.24539906739997,135.7698876589048,47.47551140849518,25919.084539101186,174.13271825117238,464.19616196546605,2.5863084859792783e-05,2333
AAL,2019-01-09,6.115279728645746,6.938602936054893,-0.823323207409147,268.1241283154193,13.167308550069967,23.67430537482064,2.7981112936076455e-06,58
AAL,2019-01-10,-395.52658702921474,-237.81534557314686,-157.71124145606788,25485.525822403622,207.78699326786202,508.1492008903963,3.759939356086705e-05,2339
AAL,2019-01-11,17.19359467958739,59.48540100164152,-42.29180632205413,24803.589511823928,115.74275479106744,302.86118911392623,2.5210007304932935e-05,2330
AAL,2019-01-14,74.67155153497039,339.01111735081747,-264.3395658158471,24109.56355319899,257.6848302762268,590.7766986220415,4.4661939182823625e-05,2338
AAL,2019-01-15,-60.01736424214082,-21.54079304001217,-38.47657120212865,23619.201010169978,238.6858419936828,568.2404876430265,4.456146548900055e-05,2339
AAL,2019-01-16,-95.15985654066318,167.81542890236057,-262.9752854430237,23778.028566372544,83.97055402922601,339.25408866477676,2.263208798551157e-05,2334
AAL,2019-01-17,104.97379813245647,147.91695956658043,-42.943161434123965,23024.943089019805,164.60074508150305,460.4379544269088,2.8553578105013427e-05,2335
AAL,2019-01-18,37.73954589678905,159.46792844621737,-121.72838254942832,22765.74711486489,164.68984443537204,478.1621138800857,3.5046443210514685e-05,2338
AAL,2019-01-22,60.46002614173467,270.17940688618074,-209.71938074444608,22704.209246512095,115.62196130778004,351.5058116225829,2.5990520876463157e-05,2337
AAL,2019-01-23,-180.6113137262127,-101.29016835236612,-79.32114537384658,23754.894963963427,100.9379323166425,368.38125149635874,2.143864445224349e-05,2340
AAL,2019-01-24,94.76319522046035,98.96023577006896,-4.197040549608616,24124.750858868716,88.72050771971095,300.61022020468954,1.557114309990277e-05,2336
AAL,2019-01-25,50.907002996569005,29.93105600625335,20.975946990315656,24805.384689907027,109.70126206269175,429.43091846561214,2.8350163620988992e-05,2333
AAL,2019-01-28,-96.97717569343885,-6.37962982316235,-90.5975458702765,25335.90300755832,156.71338008343466,400.8352684442732,2.057680353627521e-05,2340
AAL,2019-01-29,63.667935844918745,-12.493994003664099,76.16192984858284,25305.271025096146,130.0955879648697,449.3972550186626,2.846206134905074e-05,2338
AAL,2019-01-30,42.81018627870236,27.32135565637539,15.488830622326972,25137.195107469277,184.69492857319247,444.7189021209551,2.907730935468906e-05,2340
AAL,2019-01-31,-68.49310687591925,-132.69126305478025,64.198156178861,25788.652053890663,139.00549032118357,454.4599430263916,2.1359976354122595e-05,2338
AAL,2019-02-01,10.22283424784419,102.58501527912694,-92.36218103128274,24520.997765433494,236.21397089973868,464.1986244628506,1.9224818912788666e-05,2330
AAL,2019-02-04,12.058763445912593,-33.321383260469865,45.38014670638246,23945.782777159548,109.45263228750304,343.175339760496,2.3864815921433814e-05,2322
AAL,2019-02-05,70.6241362570496,12.987998446973108,57.63613781007649,23807.125658371944,140.5097410879818,403.1779650530753,2.933609199614258e-05,2329
AAL,2019-02-06,33.18965701001855,-97.5509873605493,130.74064437056785,23665.238079535255,208.80752142719672,482.6482375752436,3.936905183270555e-05,2323
AAL,2019-02-07,59.09163024997276,18.07137627408705,41.02025397588571,25078.954169875666,76.53644195375277,278.44236053276484,1.4988856237046974e-05,2338
AAL,2019-02-08,50.14871716780986,-90.44645377678378,140.59517094459363,23508.891126035516,153.76959506522172,451.2899076163741,1.998881056679772e-05,2332
AAL,2019-02-11,-34.13074134203029,4.754453319397939,-38.88519466142823,23475.880166154966,136.09920258134449,421.77115610158467,2.1441923196239518e-05,2336
AAL,2019-02-12,-89.49294837847792,33.31212543393457,-122.80507381241249,24151.969316731716,141.66050063240672,386.9693336913514,1.5494696792499057e-05,2337
