,total
net_pnl,106884.523811581
gross_pnl,117579.90249414927
impact_cost,10695.378682568256
predicted_alpha,44517365.131187424
realised_alpha,117579.90249414468
turnover,83185017.23054047
gross_notional,10042946979.522348
