,total
net_pnl,58190.81091900558
gross_pnl,61486.918314433264
impact_cost,3296.1073954276744
predicted_alpha,22257915.409718595
realised_alpha,61486.91831442846
turnover,41588926.570807815
gross_notional,5020349509.152043
