,value
strategy,sens_H_120
n_days,250
n_stockdays,4902
total_pnl_sim,58190.810919005584
total_pnl_mid,61486.91831443325
total_impact_cost,3296.107395427677
mean_daily_pnl_sim,232.76324367602234
std_daily_pnl_sim,1473.0220020160914
sharpe_sim,2.508449933323218
sharpe_mid,4.229796680602584
max_drawdown,-10124.328457442836
max_impact_dislocation,4.6291826172559226e-05
win_rate,0.6
total_turnover,41588926.570807815
