,total
net_pnl,246378.8811640708
gross_pnl,259445.56656946742
impact_cost,13066.685405396634
predicted_alpha,25214973.26862529
realised_alpha,259445.56656946454
turnover,90960648.28655185
gross_notional,10856153619.45877
