,value
strategy,sens_rho_10
n_days,250
n_stockdays,4902
total_pnl_sim,246378.8811640708
total_pnl_mid,259445.56656946742
total_impact_cost,13066.685405396634
mean_daily_pnl_sim,985.5155246562832
std_daily_pnl_sim,2122.3526430959528
sharpe_sim,7.371335767171052
sharpe_mid,10.171034014732715
max_drawdown,-13810.334039370413
max_impact_dislocation,7.390059707930975e-05
win_rate,0.772
total_turnover,90960648.28655183
