date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,5253.643037337872,7090.325563018165,-1836.6825256802938,442132.58801943285,3.135396066073497e-05
2019-01-03,-3142.539644358013,-1188.8693983489416,-1953.6702460090714,561067.6653873925,5.083959118131912e-05
2019-01-04,4923.366842457265,2275.437244833088,2647.9295976241774,595051.1797813699,3.798490961025272e-05
2019-01-07,5615.3467615752115,335.36379091646296,5279.982970658748,579865.0613478807,6.44545691833095e-05
2019-01-08,-3945.7588299628405,-5828.080811281757,1882.3219813189162,562954.9888325213,4.5590405769037256e-05
2019-01-09,253.96739058538972,312.43058471988877,-58.46319413449907,5656.503109165896,1.1821235711267581e-05
2019-01-10,30.844174571718327,212.7238358654472,-181.87966129372876,454947.6301661934,7.390059707930975e-05
2019-01-11,639.0353559784614,1533.0773593627234,-894.042003384262,446470.2958449374,6.843803215160254e-05
2019-01-14,6096.828114549562,862.95418012314,5233.873934426422,435756.9162281277,5.028953218576738e-05
2019-01-15,-166.10485788595423,-1007.9799629612921,841.8751050753378,431015.1439276127,6.377835027035199e-05
2019-01-16,1563.7292479616583,4790.667462091995,-3226.938214130336,427930.86868939974,3.621682006154053e-05
2019-01-17,-196.324640867403,1526.088033873061,-1722.4126747404641,423292.2302129802,5.584909230275769e-05
2019-01-18,2874.848654574027,-600.6859537296108,3475.534608303638,425310.18940184155,4.405060315723819e-05
2019-01-22,540.7597289271769,6643.560457021109,-6102.800728093933,426708.24599927146,4.114137925341448e-05
2019-01-23,6721.944785011778,5342.111536682689,1379.833248329088,427758.32425178454,4.597529063990721e-05
2019-01-24,3601.865665849415,-1264.2411697164207,4866.106835565835,431211.9009699947,4.4480436500125535e-05
2019-01-25,531.5985128130883,1025.9785599349514,-494.380047121863,435911.17118308746,3.4752782349244885e-05
2019-01-28,2432.0504749702814,3276.96163585585,-844.9111608855685,441428.17689219443,4.6247299473617406e-05
2019-01-29,1300.038490317892,6037.845040019953,-4737.806549702062,443935.9553241653,3.6569262903036345e-05
2019-01-30,1408.6770457164087,440.5468749611541,968.1301707552545,454706.8823440171,5.0242147287813976e-05
2019-01-31,2001.0421108460657,-32.129759593895386,2033.1718704399607,457519.8154766512,3.670852449072146e-05
2019-02-01,1736.407129273234,2101.6151904651847,-365.2080611919506,452252.1435355646,4.5647777984788935e-05
2019-02-04,-1266.858620678441,657.8701156345643,-1924.7287363130051,437096.2213487875,4.357582119428847e-05
2019-02-05,1755.5984201730528,2711.4334186059923,-955.8349984329393,436574.87776187004,4.0169228947033486e-05
2019-02-06,1879.924485894036,-2393.7546264797456,4273.679112373782,432909.04108897154,4.1966019498456355e-05
2019-02-07,606.304906500314,3683.6266868665434,-3077.321780366229,469180.3083527245,3.717930744551767e-05
2019-02-08,-1286.5003790291694,1854.6096565955766,-3141.110035624746,463561.79493379407,2.5263670106529604e-05
2019-02-11,1347.7022013715045,920.462368493336,427.2398328781684,462942.86798572936,3.377503783695173e-05
