,value
strategy,sens_rho_01
n_days,250
n_stockdays,4902
total_pnl_sim,20000.338341478753
total_pnl_mid,21996.014703417473
total_impact_cost,1995.6763619387139
mean_daily_pnl_sim,80.00135336591501
std_daily_pnl_sim,2034.6959126062923
sharpe_sim,0.6241631024373151
sharpe_mid,0.8749149829946758
max_drawdown,-21615.80741605341
max_impact_dislocation,8.458556151759696e-05
win_rate,0.54
total_turnover,98366898.62190115
