stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,51.29378346319238,-57.34856049127645,108.64234395446883,16978.6861648886,56.54217045309591,241.00588010004108,1.9733252352361645e-05,2339
AAL,2019-01-03,96.24864718126406,114.04923285098779,-17.80058566972373,35150.29390975753,121.26982505630485,378.542983885609,2.5721516592211076e-05,2338
AAL,2019-01-04,-352.3280891506878,-317.1008937539691,-35.227195396718685,34290.45666867909,236.298184287882,710.1284048622755,3.5346660979797896e-05,2324
AAL,2019-01-07,116.73297164702231,159.6092757589889,-42.87630411196659,32656.685212762262,186.74429308626952,655.9512346215074,3.410843420060998e-05,2335
AAL,2019-01-08,142.642083163586,170.565050018492,-27.922966854906008,30774.98326538304,197.57907393037303,487.0242763780102,2.988550589812502e-05,2333
AAL,2019-01-09,14.63050407857379,16.3093654113026,-1.678861332728811,334.17064875484994,32.75562833373608,54.69050171403271,6.30499347225479e-06,58
AAL,2019-01-10,-341.04526510467315,-250.91072940087236,-90.1345357038008,30765.538466798716,189.73843871946002,538.0828886726077,3.5539692199385667e-05,2339
AAL,2019-01-11,-8.920012897760138,26.003426576700623,-34.923439474460764,29689.624630266873,141.9513232229954,382.0986418540879,3.204093858649742e-05,2330
AAL,2019-01-14,59.421761303566214,329.8822619084111,-270.4605006048449,28735.617809499374,253.60827091411542,608.3056298627166,4.6611071807063643e-05,2338
AAL,2019-01-15,-64.58332737313279,-42.13292324475478,-22.45040412837801,28301.604163856056,245.16030367312175,522.58835693805,5.192367449821686e-05,2339
AAL,2019-01-16,-88.04816967593334,156.451065703247,-244.49923537918033,28526.156695221907,92.86625304129652,348.90695380612607,2.5114976855498246e-05,2334
AAL,2019-01-17,92.68752817120598,127.25216227084132,-34.56463409963534,27694.557216687408,169.5500953774433,480.51492774734726,3.364863769954686e-05,2335
AAL,2019-01-18,39.94487558811964,142.0730997460137,-102.12822415789405,27302.514235599323,187.02896282744064,551.3979504326179,3.7067934467164696e-05,2338
AAL,2019-01-22,77.37074267358891,282.9024328780546,-205.5316902044657,27428.28231394289,125.05145550540612,446.34165189379775,3.209649860409685e-05,2337
AAL,2019-01-23,-164.59854170849806,-102.25675935217065,-62.341782356327414,28449.012297790512,111.18850247825054,386.51765390119766,2.519739674761144e-05,2340
AAL,2019-01-24,110.27093191715784,82.3180536839839,27.952878233173934,28952.621380873497,109.26774286053718,356.9124669558832,2.0296174485274343e-05,2336
AAL,2019-01-25,31.605451914361296,65.32655282550952,-33.72110091114823,29657.98353577695,126.32170863006228,508.0038735444547,3.1392542418113585e-05,2333
AAL,2019-01-28,-138.7096294020251,-43.26012530990333,-95.44950409212176,30516.621090405555,168.8257267285476,422.43992117702675,2.441350342689723e-05,2340
AAL,2019-01-29,35.28133726895375,-41.69948281156648,76.98082008052023,30371.164036435333,142.8687833319697,478.12533370539705,3.108663388427616e-05,2338
AAL,2019-01-30,45.87248817215416,23.279186939658814,22.59330123249535,30343.762599301455,207.7294063962055,498.48842660810675,3.233007657425738e-05,2340
AAL,2019-01-31,-81.84939184542714,-153.36628438266382,71.51689253723669,30914.677701158624,167.707954400373,518.1180005842363,2.2885803762500528e-05,2338
AAL,2019-02-01,-17.712376080458156,74.69765475550872,-92.41003083596688,29403.647605751685,254.94702556341915,544.6400477648766,2.299079767772173e-05,2330
AAL,2019-02-04,13.350204747281266,-50.53054137882825,63.880746126109514,28697.851617950924,118.53838005814355,380.63410419872304,2.678995570158043e-05,2322
