,total
net_pnl,20000.338341478753
gross_pnl,21996.014703417466
impact_cost,1995.6763619387202
predicted_alpha,255106666.0812188
realised_alpha,21996.014703412002
turnover,98366898.62190115
gross_notional,11978149902.763523
