,total
net_pnl,29528.624838506836
gross_pnl,119186.64694921151
impact_cost,89658.02211070467
predicted_alpha,44649423.37873314
realised_alpha,119186.64694920789
turnover,86528734.2055405
gross_notional,10554622452.929619
