stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-36.73576910861925,28.51035726319323,65.24612637181248,14924.36447372127,481600.81314965687,2865.4731500424755,28.510357263188524
AAL,2019-01-03,211.6560444883391,146.6532513742983,-65.0027931140408,30969.420007686964,927734.1614300793,5998.4307331003,146.6532513742848
AAL,2019-01-04,-166.5760128693019,-258.88940928746024,-92.31339641815833,30162.74143626105,955525.6442545846,5914.877740175662,-258.88940928742943
AAL,2019-01-07,165.3336354192258,153.80107271531483,-11.532562703910969,28742.622238467473,946134.7155514553,5570.284046398781,153.8010727153134
AAL,2019-01-08,174.9152010488032,157.90061483918493,-17.014586209618273,27112.8427513028,885513.9953301188,5332.192251265382,157.90061483922705
AAL,2019-01-09,11.58029041466082,9.192898505175787,-2.387391909485032,296.89927709744165,9674.691970858361,59.049209246508966,9.19289850517627
AAL,2019-01-10,-342.5252504982059,-387.5211736484067,-44.99592315020084,27128.2805297093,847310.9722589839,5211.781926158345,-387.5211736483905
AAL,2019-01-11,33.667159509383914,20.372787677012845,-13.29437183237107,26191.94198138355,828606.1949134631,5154.730214466643,20.372787677008887
AAL,2019-01-14,365.03118342267874,117.59219802488454,-247.4389853977942,25325.51534980759,800877.4996221488,4881.0923883253,117.59219802493176
AAL,2019-01-15,-66.30424184338338,-49.00023761021753,17.30400423316585,24832.82131258776,797284.3311159201,4987.003721598218,-49.00023761020394
AAL,2019-01-16,180.61315067966345,-81.48133242194884,-262.0944831016123,25105.13869356997,833872.3491686605,4756.1049939306995,-81.48133242194018
AAL,2019-01-17,123.18139865190977,132.16810937475248,8.986710722842702,24399.025240066076,812169.2533674885,4697.055716324797,132.1681093747849
AAL,2019-01-18,43.74476779953643,45.91509427937139,2.170326479834955,24021.903122444855,812424.7635055638,4753.417959317543,45.91509427936661
AAL,2019-01-22,310.34787944261427,76.71850829941872,-233.62937114319556,24188.277733684972,801406.0851049,4777.877456757222,76.71850829941846
AAL,2019-01-23,-92.73470585656791,-185.2476361756119,-92.51293031904397,25056.277789084088,807710.6281010269,4913.600660380508,-185.24763617562022
AAL,2019-01-24,47.538747899612304,113.2321657617718,65.69341786215949,25544.968781747724,850771.2199129038,4905.816633006378,113.23216576179905
