date,pnl_mid,pnl_sim,impact_cost,turnover,max_impact
2019-01-02,2902.9575020248094,4133.140646620036,-1230.1831445952264,410313.5102360278,2.6152168073664517e-05
2019-01-03,-4820.109740372851,-2344.1981986702226,-2475.911541702628,523771.4017036359,3.772885811298557e-05
2019-01-04,479.68816298865494,-767.2128168972919,1246.900979885947,554934.8421129746,3.3412551539919426e-05
2019-01-07,-4481.316508047828,-8671.864766358749,4190.548258310921,540458.3259937476,4.986326802266369e-05
2019-01-08,-1509.8233742221616,9.155299114547718,-1518.9786733367096,524689.6744420868,3.318322746870552e-05
2019-01-09,-2355.4877091261874,-21.220700306562023,-2334.267008819625,5475.231195811818,1.1814303011549653e-05
2019-01-10,-2112.9135562007327,6802.70646722803,-8915.620023428763,434142.30670444405,6.439874085521225e-05
2019-01-11,-1138.9564728458874,-5025.202821380452,3886.246348534566,424029.46423802146,6.0498013878152455e-05
2019-01-14,1619.7811544582162,-6021.5523027324,7641.333457190615,413932.54842837516,4.036923343267558e-05
2019-01-15,-10282.173268393935,-6142.7378345561065,-4139.435433837827,407778.06474482396,5.167483176185482e-05
2019-01-16,5333.218303536355,-8727.055014854313,14060.27331839067,404499.35231124825,3.154198093458152e-05
2019-01-17,-7275.433653428323,-10710.320066054479,3434.8864126261565,398467.0562052019,4.090854564375988e-05
2019-01-18,4277.5426298025395,-990.8341676931886,5268.376797495728,400893.2013776491,3.823563520762438e-05
2019-01-22,21809.7455629561,24555.0185882103,-2745.2730252541974,399904.3764268939,3.451507660753697e-05
2019-01-23,12778.738594159846,24327.392140610165,-11548.653546450321,400178.33431198006,3.725557232740946e-05
2019-01-24,-8840.660679876766,-3367.3536665425017,-5473.307013334264,403696.7098294139,3.565805551844059e-05
2019-01-25,-2458.4147465853493,-2694.629821107619,236.21507452227007,407929.8963258269,2.8107495794384853e-05
2019-01-28,6004.048771281068,407.57498001335085,5596.4737912677165,412247.3282282315,3.800186673448899e-05
2019-01-29,20658.26008993437,19137.599136685083,1520.6609532492873,414322.57920599834,2.8763755759795673e-05
