,value
strategy,ow_multi
n_days,250
n_stockdays,4902
total_pnl_sim,467360.0217489416
total_pnl_mid,428442.65211984236
total_impact_cost,-38917.36962909918
mean_daily_pnl_sim,1869.4400869957665
std_daily_pnl_sim,14457.060160983421
sharpe_sim,2.05273001815715
sharpe_mid,1.8421171100788651
max_drawdown,-88257.38735010623
max_impact_dislocation,6.439874085521225e-05
win_rate,0.56
total_turnover,83712089.05459175
