,total
net_pnl,467360.0217489416
gross_pnl,428442.65211984236
impact_cost,-38917.369629099165
predicted_alpha,44547433.925788045
realised_alpha,428442.6521198904
turnover,83712089.05459175
gross_notional,10107790918.935135
