stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,40.2824991921434,-38.73063591254775,79.01313510469114,14451.291473029096,52.664665792091895,225.4206053627817,1.5641911506424428e-05,2339
AAL,2019-01-03,205.80188410696329,213.39909193402286,-7.597207827059577,29684.14198241398,105.28729059526701,356.2382737944539,1.85798493926147e-05,2338
AAL,2019-01-04,-238.23682731387922,-205.04125635769293,-33.19557095618629,28822.350045382067,207.3351213036378,620.3173630845439,2.6510405571325752e-05,2324
AAL,2019-01-07,-167.90830751423894,-174.8763861156144,6.968078601375453,27688.281945045248,358.16208884619385,808.1844532755422,2.178726480487762e-05,2335
AAL,2019-01-08,620.0843258695597,311.47952367549794,308.6048021940618,26124.367693011685,615.2617373835975,908.0732747577763,2.18828940995342e-05,2333
AAL,2019-01-09,-308.28119164219345,-275.6160191856448,-32.665172456548646,272.38557299407614,532.6915467033116,565.7611790155393,2.4336729574495955e-06,58
AAL,2019-01-10,-1137.852851104063,-910.4074549627051,-227.44539614135783,25753.31782625166,694.4030248537404,1033.8931683467838,3.149906371477868e-05,2339
AAL,2019-01-11,21.781854076622473,105.88781016183516,-84.10595608521268,25027.681032482633,445.45535387302,660.0635268895111,2.2042924165225893e-05,2330
AAL,2019-01-14,-84.2509040976057,-43.74131222601603,-40.50959187158967,24316.065444752843,216.52388099978876,621.8283834433041,3.8233548473820666e-05,2338
AAL,2019-01-15,-135.36426362000878,1.1547061699896766,-136.51896978999847,23813.410392609323,179.99993223945984,539.9181292505416,3.807736519413169e-05,2339
AAL,2019-01-16,-88.3509776879302,-110.4451796479706,22.094201960040408,24006.029926647858,314.91917856555506,515.0783211897938,1.9410721397006055e-05,2334
AAL,2019-01-17,44.68738674042598,89.00904822255042,-44.32166148212444,23261.873009193445,126.25046094313326,381.2170566295244,2.4534508188719346e-05,2335
AAL,2019-01-18,57.226956694629834,93.60360770928483,-36.376651014654996,22954.443668554777,299.1161293754658,630.6137871624622,2.9642035667937315e-05,2338
AAL,2019-01-22,-50.390421926229514,141.44456247235627,-191.8349843985858,22922.189726333338,137.36208998481598,349.01451136627793,2.2497885771452955e-05,2337
AAL,2019-01-23,-548.3739230488186,-332.33974450166124,-216.03417854715735,23991.519859260457,339.81197615414015,629.1874682112058,1.870790023750459e-05,2340
AAL,2019-01-24,-92.14269686605337,-215.09298076555154,122.95028389949817,24349.88021952923,224.36564632042698,422.69611571999536,1.304687568685489e-05,2336
AAL,2019-01-25,334.0563684833739,566.0245294696219,-231.96816098624805,25038.690612882383,327.33299135397516,699.5072810762524,2.392349567510391e-05,2333
AAL,2019-01-28,272.7734405495278,192.5559932535523,80.21744729597549,25584.512759824996,91.31151832860216,246.1536574671694,1.777346084420823e-05,2340
AAL,2019-01-29,97.86298341238775,26.782399530515967,71.08058388187177,25552.45215659019,160.4792639238467,519.2543467400527,2.4420110713072035e-05,2338
AAL,2019-01-30,84.77622620487938,-104.81663996413035,189.5928661690097,25406.628185372792,417.7866902622072,786.64094905756,2.5077424133636446e-05,2340
