,total
net_pnl,-619.6746995430585
gross_pnl,-2182.2595239471134
impact_cost,-1562.5848244040571
predicted_alpha,50737689.304990485
realised_alpha,-2182.259523951877
turnover,94805709.57964304
gross_notional,11444483793.169214
